Coluna;Microrregião
CNAE 2.0 Subclasse;41001:PARANAVAÍ;41002:UMUARAMA;41003:CIANORTE;41004:GOIOERÊ;41005:CAMPO MOURÃO;41006:ASTORGA;41007:PORECATU;41008:FLORAÍ;41009:MARINGÁ;41010:APUCARANA;41011:LONDRINA;41012:FAXINAL;41013:IVAIPORÃ;41014:ASSAÍ;41015:CORNÉLIO PROCÓPIO;41016:JACAREZINHO;41017:IBAITI;41018:WENCESLAU BRAZ;41019:TELÊMACO BORBA;41020:JAGUARIAÍVA;41021:PONTA GROSSA;41022:TOLEDO;41023:CASCAVEL-PR;41024:FOZ DO IGUAÇU;41025:CAPANEMA;41026:FRANCISCO BELTRÃO;41027:PATO BRANCO;41028:PITANGA;41029:GUARAPUAVA;41030:PALMAS;41031:PRUDENTÓPOLIS;41032:IRATI;41033:UNIÃO DA VITÓRIA;41034:SÃO MATEUS DO SUL;41035:CERRO AZUL;41036:LAPA;41037:CURITIBA;41038:PARANAGUÁ;41039:RIO NEGRO-PR;42001:SÃO MIGUEL DO OESTE;42002:CHAPECÓ;42003:XANXERÊ;42004:JOAÇABA;42005:CONCÓRDIA;42006:CANOINHAS;42007:SÃO BENTO DO SUL;42008:JOINVILLE;42009:CURITIBANOS;42010:CAMPOS DE LAGES;42011:RIO DO SUL;42012:BLUMENAU;42013:ITAJAÍ;42014:ITUPORANGA;42015:TIJUCAS;42016:FLORIANÓPOLIS;42017:TABULEIRO;42018:TUBARÃO;42019:CRICIÚMA;42020:ARARANGUÁ;43001:SANTA ROSA;43002:TRÊS PASSOS;43003:FREDERICO WESTPHALEN;43004:ERECHIM;43005:SANANDUVA;43006:CERRO LARGO;43007:SANTO ÂNGELO;43008:IJUÍ;43009:CARAZINHO;43010:PASSO FUNDO;43011:CRUZ ALTA;43012:NÃO-ME-TOQUE;43013:SOLEDADE;43014:GUAPORÉ;43015:VACARIA;43016:CAXIAS DO SUL;43017:SANTIAGO;43018:SANTA MARIA;43019:RESTINGA SECA;43020:SANTA CRUZ DO SUL;43021:LAJEADO-ESTRELA;43022:CACHOEIRA DO SUL;43023:MONTENEGRO;43024:GRAMADO-CANELA;43025:SÃO JERÔNIMO;43026:PORTO ALEGRE;43027:OSÓRIO;43028:CAMAQUÃ;43029:CAMPANHA OCIDENTAL;43030:CAMPANHA CENTRAL;43031:CAMPANHA MERIDIONAL;43032:SERRAS DE SUDESTE;43033:PELOTAS;43034:JAGUARÃO;43035:LITORAL LAGUNAR;Total
1064300:Fabricação de farinha de milho e derivados, exceto óleos de milho;0;0;0;1;5;0;0;0;69;489;105;324;0;0;162;28;4;9;0;2;2;2;17;0;3;1;3;14;99;0;27;38;5;0;0;0;27;0;0;2;3;4;6;0;0;0;14;0;0;15;27;0;0;0;23;0;36;3;2;1;0;0;0;0;0;0;0;0;26;0;0;0;6;1;5;0;0;0;3;15;0;0;2;0;3;0;0;0;0;0;0;0;0;0;1633
1065101:Fabricação de amidos e féculas de vegetais;1552;95;92;1;0;30;0;0;0;257;0;0;0;0;0;0;5;5;0;0;221;431;0;73;16;0;0;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;0;2;0;0;0;102;0;1;13;0;0;0;2;11;18;0;0;0;0;0;0;5;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3283
1065102:Fabricação de óleo de milho em bruto;0;0;0;0;0;0;0;0;0;55;0;0;0;0;83;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194
1066000:Fabricação de alimentos para animais;169;143;175;61;58;524;0;0;893;538;644;0;2;0;172;35;0;124;41;9;522;1442;646;143;21;200;328;6;149;0;1;0;13;0;0;95;417;1;0;255;718;219;873;173;31;12;57;92;68;302;37;220;0;0;300;0;197;105;113;317;112;177;155;0;6;71;76;172;420;64;86;4;112;56;394;18;44;39;1;638;0;152;508;3;867;5;29;18;27;13;0;33;0;1;15962
1069400:Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;10;6;25;151;4;43;35;47;58;272;406;0;0;116;255;39;40;29;0;0;1;69;21;4;34;17;1;3;83;49;130;22;84;164;0;0;601;5;29;1;9;186;170;2;473;0;0;1;2;12;12;1;5;1;0;0;0;0;0;54;0;21;439;60;0;41;53;9;45;2;0;1;56;142;46;2;9;20;1;26;4;27;2;0;279;43;7;4;0;0;0;1;0;0;5122
1071600:Fabricação de açúcar em bruto;3363;2405;4987;1066;0;5188;2267;0;1456;1088;0;0;373;0;26;433;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;0;0;1;0;28;13;0;0;0;0;0;0;0;0;22737
1072401:Fabricação de açúcar de cana refinado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
1081301:Beneficiamento de café;0;0;3;0;0;3;0;0;25;3;0;0;0;2;10;33;9;9;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101
1081302:Torrefação e moagem de café;14;43;16;6;0;3;10;0;58;79;416;8;19;0;12;70;8;14;0;2;26;28;0;0;0;0;0;3;2;1;2;0;10;0;0;0;32;30;0;0;0;0;0;0;0;0;0;0;20;2;12;0;0;12;6;0;7;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;92;67;0;0;0;0;0;0;0;1;0;43;0;0;0;0;0;0;23;0;0;1203
1082100:Fabricação de produtos à base de café;0;0;0;0;0;0;0;0;92;0;713;0;0;0;674;0;0;1;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1511
1091101:Fabricação de produtos de panificação industrial;8;26;55;0;27;62;10;8;221;309;338;0;2;2;29;3;26;0;62;3;102;153;30;110;0;35;502;17;67;0;27;21;8;5;0;1;1349;31;10;249;125;24;177;300;105;135;531;2;27;269;1172;601;8;52;641;1;186;219;94;85;31;5;174;27;35;78;28;57;86;0;2;85;100;4;819;1;286;20;106;413;814;30;162;1;2825;61;16;23;68;27;0;54;0;27;15127
1091102:Fabricação de produtos de padaria e confeitaria com predominância de produção própria;18;136;69;15;106;56;24;0;213;68;423;1;17;8;36;66;11;45;7;17;146;209;80;59;5;16;39;10;89;22;11;115;19;30;0;6;1412;74;18;58;199;21;181;80;92;18;772;15;102;210;769;471;44;56;582;3;360;239;124;78;88;38;192;14;53;53;64;22;209;24;33;0;53;80;396;9;92;14;280;337;27;122;179;10;1542;135;6;50;132;103;6;254;7;36;12830
1092900:Fabricação de biscoitos e bolachas;13;7;7;11;54;122;65;0;126;794;22;4;8;0;10;376;2;2;6;0;30;138;28;571;27;27;21;0;99;0;6;1;6;0;0;0;442;6;21;7;3042;9;0;61;50;1;108;0;37;14;176;86;1;58;150;1;203;55;64;10;6;5;19;6;20;24;4;9;41;30;23;4;54;25;1210;11;13;95;525;321;5;40;430;2;147;33;0;12;0;15;0;289;0;3;10606
1093701:Fabricação de produtos derivados do cacau e de chocolates;2;21;0;2;4;50;0;0;13;10;0;0;1;20;9;12;0;0;1;0;1;130;3;4;0;18;1;1;2;0;0;3;1;0;0;0;3555;0;0;0;4;1;7;0;3;102;27;37;9;11;64;7;1;0;15;0;11;5;2;0;0;0;14;7;0;0;1;2;91;0;0;6;7;0;39;0;0;0;0;452;4;0;513;1;44;1;0;0;1;0;0;34;0;0;5387
1093702:Fabricação de frutas cristalizadas, balas e semelhantes;0;0;0;0;0;0;0;0;0;190;538;0;0;0;8;0;1;3;0;0;0;0;0;0;1;2;0;0;66;0;0;0;5;0;0;0;23;18;0;0;0;0;0;1;0;0;20;0;0;0;19;17;6;61;0;0;17;0;103;0;0;0;999;0;0;0;106;0;603;0;0;0;23;1;0;0;0;0;0;926;0;0;0;1;10;25;0;0;0;0;0;37;0;0;3830
1094500:Fabricação de massas alimentícias;28;26;30;12;0;145;0;0;156;588;541;2;0;4;47;9;1;0;0;3;939;127;160;56;3;120;74;0;59;0;0;19;19;1;0;0;751;1;13;15;697;42;217;35;11;51;130;5;55;76;248;194;31;1;587;3;75;237;14;21;6;48;87;33;3;0;0;13;88;0;2;0;142;54;403;0;156;37;32;121;123;21;95;8;1577;61;28;9;10;2;0;25;1;0;9864
1095300:Fabricação de especiarias, molhos, temperos e condimentos;7;11;5;5;2;160;0;0;79;7;43;0;0;23;37;48;8;4;0;0;2;39;30;25;4;0;7;0;1;0;0;0;0;0;0;0;47;0;1;0;24;0;35;0;0;0;76;1;0;148;51;9;0;19;64;0;14;26;9;35;4;0;0;2;0;8;0;24;8;0;0;0;0;0;10;0;12;0;8;0;0;0;0;0;195;1;0;0;0;5;0;35;0;3;1421
1096100:Fabricação de alimentos e pratos prontos;20;6;5;1;2;0;15;4;160;5;146;0;0;2;1;0;0;0;2;0;21;9;142;11;6;12;5;3;11;9;0;0;0;0;0;0;326;7;1;45;14;21;8;7;1;5;141;11;487;37;159;133;6;8;422;0;73;34;5;0;7;3;8;0;0;4;3;7;18;11;0;0;25;7;192;4;21;1;2;24;0;1;95;9;210;19;96;0;0;12;9;39;0;0;3376
1099601:Fabricação de vinagres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;52;0;0;20;0;0;0;0;0;0;0;0;0;0;0;214
1099602:Fabricação de pós alimentícios;0;0;0;0;0;51;0;0;26;14;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;12;0;0;0;0;0;0;0;0;0;9;0;0;0;379;7;0;244;0;0;0;0;5;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;1080
1099603:Fabricação de fermentos e leveduras;329;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;29;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;28;0;0;0;0;0;0;0;0;0;445
1099604:Fabricação de gelo comum;4;9;0;0;4;0;0;0;21;0;13;0;2;0;0;0;0;3;0;0;0;11;5;10;1;4;0;0;4;0;2;0;0;0;0;0;65;7;0;1;18;1;7;0;0;0;14;0;1;2;15;74;0;0;43;4;12;28;1;0;1;1;0;0;2;2;0;11;0;0;0;0;2;0;6;0;2;0;18;1;0;3;3;2;100;17;2;2;1;1;0;23;0;11;597
1099605:Fabricação de produtos para infusão (chá, mate, etc.);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;52;3;0;29;0;29;155;10;55;20;229;81;0;4;443;0;0;25;110;250;226;91;36;14;0;0;8;0;0;1;0;0;0;0;0;0;0;20;151;22;532;13;3;4;80;7;12;0;0;13;341;0;5;15;90;12;155;22;0;7;28;0;30;0;1;0;0;0;0;0;0;0;3436
1099606:Fabricação de adoçantes naturais e artificiais;0;0;0;0;0;0;0;0;105;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137
1099607:Fabricação de alimentos dietéticos e complementos alimentares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
1099699:Fabricação de outros produtos alimentícios não especificados anteriormente;72;135;22;0;113;25;34;8;464;264;346;78;2;14;10;1371;4;35;0;24;410;104;151;15;0;33;5;0;0;10;11;0;30;0;4;1;3158;281;20;21;88;43;347;16;0;11;1346;7;23;199;391;73;20;68;498;0;167;238;72;7;0;0;53;0;7;75;34;2;207;0;6;0;507;43;130;2;28;19;11;1113;0;400;216;4;904;386;3;0;10;2;0;41;0;0;15092
1111901:Fabricação de aguardente de cana-de-açúcar;0;0;0;0;0;0;0;0;0;163;2;0;6;4;2;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;5;1;0;2;1;5;0;0;0;0;13;0;0;8;36;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;2;0;7;75;0;2;12;5;0;5;0;1;8;0;0;0;0;0;382
1111902:Fabricação de outras aguardentes e bebidas destiladas;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0;5;0;38;0;119;0;0;0;4;0;0;0;11;0;0;0;1;0;0;2;9;0;0;0;0;0;2;0;0;0;0;0;166;0;8;0;0;0;0;8;0;0;56;0;0;0;1;0;0;0;0;0;451
1112700:Fabricação de vinho;0;0;0;0;0;0;0;0;21;0;11;0;0;0;4;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;214;0;0;3;4;0;380;0;0;0;0;0;62;2;1;1;0;23;0;0;0;8;0;0;3;12;4;0;0;1;0;4;1;1;1;0;5;107;2470;0;44;0;3;0;0;9;33;0;0;1;9;0;170;6;65;0;0;0;3688
1113501:Fabricação de malte, inclusive malte uísque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;400
1113502:Fabricação de cervejas e chopes;0;0;0;0;1;0;0;0;3;16;170;0;0;0;0;0;0;0;0;0;728;302;21;3;0;8;1;0;7;11;0;1;0;2;0;0;111;0;0;23;94;0;16;4;0;0;59;0;489;16;222;14;0;14;20;4;8;171;0;13;0;0;3;0;0;0;7;6;24;0;0;0;2;0;68;0;5;0;19;14;1;23;666;0;669;3;0;4;2;0;4;13;0;0;4085
1121600:Fabricação de águas envasadas;0;0;0;16;9;35;0;0;0;20;25;0;5;0;11;0;0;0;13;0;26;7;54;24;0;25;0;0;0;0;0;0;0;0;0;0;348;23;11;0;0;1;26;0;0;18;55;19;14;0;86;21;0;0;169;62;127;0;38;0;0;0;0;0;0;0;78;21;0;0;0;0;0;0;50;0;0;0;0;0;0;46;50;0;231;0;14;2;2;0;12;0;0;0;1794
1122401:Fabricação de refrigerantes;93;0;63;0;0;71;0;0;641;0;53;0;0;46;0;42;0;29;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;1171;0;0;0;0;0;0;0;0;0;2;0;0;0;171;0;0;0;741;63;211;22;0;0;0;4;0;0;0;19;0;266;1;0;0;0;15;0;0;0;607;0;75;415;0;7;0;0;1491;0;0;0;0;0;0;40;0;0;6374
1122402:Fabricação de chá mate e outros chás prontos para consumo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;45;0;0;0;1;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;104
1122403:Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;19;40;0;1;0;0;0;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132
1122499:Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;60
1210700:Processamento industrial do fumo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;53;0;17;0;0;0;0;457;0;9;0;0;0;32;0;0;0;0;29;0;0;0;0;0;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2997;0;32;0;0;3;0;0;20;0;0;0;0;0;0;0;3778
1220401:Fabricação de cigarros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;312;0;0;0;0;0;0;0;0;0;1384
1220402:Fabricação de cigarrilhas e charutos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
1220499:Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;0;0;0;0;0;0;0;0;22;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;36;0;0;0;1;0;6;0;0;0;0;0;0;0;5;0;0;31;277;1;0;0;0;0;0;9;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;9;221;0;12;0;4;0;0;0;7;0;0;0;1;10;0;0;719
1311100:Preparação e fiação de fibras de algodão;0;3;0;187;287;0;4;0;625;0;233;0;0;11;3;0;0;0;0;0;519;635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;696;528;0;0;50;1939;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;6006
1312000:Preparação e fiação de fibras têxteis naturais, exceto algodão;0;0;0;0;0;0;0;0;12;0;470;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;19;0;6;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;6;0;0;0;0;24;0;0;0;3;91;0;0;0;0;675
1313800:Fiação de fibras artificiais e sintéticas;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;7;0;0;777;0;0;5;63;495;0;0;0;408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;53;0;0;0;4;1045;0;0;0;0;0;0;0;0;0;3073
1314600:Fabricação de linhas para costurar e bordar;0;0;34;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;2;0;0;0;0;0;1676;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1773
1321900:Tecelagem de fios de algodão;0;50;0;1;9;0;0;0;0;12;8;0;0;0;0;0;0;0;0;0;0;28;30;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;2587;0;0;17;2497;16;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;5305
1322700:Tecelagem de fios de fibras têxteis naturais, exceto algodão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569;0;0;0;211;0;0;3;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;934
1323500:Tecelagem de fios de fibras artificiais e sintéticas;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;22;43;0;0;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;1425;0;0;431;6;1;0;0;0;0;96;0;0;0;238;196;0;0;17;0;0;432;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;164;0;1;0;0;8;0;0;7;0;459;0;0;0;0;0;0;0;0;0;3896
1330800:Fabricação de tecidos de malha;0;0;17;7;28;0;0;0;18;43;47;80;0;0;0;2;0;0;0;0;15;0;33;0;0;10;57;0;0;0;18;0;0;0;0;0;31;0;10;0;9;14;15;3;0;1;4167;0;0;231;4358;477;89;117;0;0;467;39;2;28;22;0;8;0;0;0;0;0;0;0;0;0;0;10;1033;4;0;0;0;6;0;32;107;5;158;0;0;15;0;0;0;0;0;6;11839
1340501:Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;0;1;409;1;0;5;0;1;81;39;137;43;0;0;0;10;0;0;0;0;6;7;4;5;92;0;0;1;0;0;0;0;0;0;0;0;124;0;0;1;1;0;11;8;0;11;157;0;2;16;2955;53;0;3;23;0;40;310;38;0;0;0;0;0;0;1;0;6;1;0;0;0;0;0;52;0;0;0;0;1;0;1;34;0;198;0;0;0;0;2;1;0;0;4;4896
1340502:Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;22;309;540;57;25;0;1;0;81;17;12;0;0;8;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;309;751;0;0;217;5162;0;300;331;2;0;5;123;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0;8459
1340599:Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;1;416;239;1;6;84;2;28;186;186;68;0;1;0;1;0;0;0;0;0;3;8;12;1;0;15;5;0;6;0;0;0;2;0;0;0;353;1;0;0;9;15;13;2;2;11;266;0;3;310;2729;22;2;123;37;0;231;331;37;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;16;0;1;0;0;28;0;7;75;0;190;1;0;0;0;1;0;1;0;0;6095
1351100:Fabricação de artefatos têxteis para uso doméstico;8;4;7;1;25;49;0;0;118;72;62;1;1;0;0;13;0;1;0;0;2;125;119;20;10;33;3;0;4;0;1;0;0;3;0;0;209;34;1;16;77;4;11;35;119;723;124;2;640;53;7615;92;43;0;132;0;204;16;91;29;2;41;82;13;5;5;53;28;32;7;0;4;15;4;210;0;8;0;24;37;0;32;25;0;208;1;0;0;3;0;0;7;0;0;11798
1352900:Fabricação de artefatos de tapeçaria;1;12;1;1;3;1;0;0;33;12;33;2;0;0;1;3;0;0;0;0;104;5;7;5;0;1;0;0;0;0;0;3;0;0;0;0;41;1;0;0;36;0;5;4;0;2;11;1;0;2;154;81;0;7;17;0;0;0;4;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;15;0;0;19;0;0;0;3;25;0;30;0;0;0;0;0;0;2;0;0;709
1353700:Fabricação de artefatos de cordoaria;0;46;7;0;0;8;0;76;0;0;1;0;0;0;2;0;0;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;1;2;0;43;0;0;0;65;3;0;0;79;881;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;15;0;0;0;0;0;0;4;2;0;328;0;0;0;0;0;0;0;0;0;1699
1354500:Fabricação de tecidos especiais, inclusive artefatos;2;0;7;0;0;0;0;0;25;573;23;0;0;0;0;0;0;0;0;1;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;5;0;3;3;16;66;0;0;0;36;0;0;4;604;96;0;0;2;0;0;30;3;0;0;1;3;0;0;0;1;0;13;0;0;0;0;0;16;0;4;0;10;1;0;0;19;0;1345;3;0;0;0;0;0;0;0;0;3928
1359600:Fabricação de outros produtos têxteis não especificados anteriormente;0;15;84;3;40;0;0;0;403;96;30;0;0;0;2;0;0;0;0;0;0;92;32;5;0;0;1;0;6;0;0;0;0;0;0;0;614;0;0;21;147;94;11;4;8;3;1702;0;5;30;3198;87;0;14;194;0;9;193;0;10;7;1;13;0;0;0;0;2;34;2;0;0;16;0;264;9;0;0;1;33;1;93;319;0;1116;37;0;1;0;0;0;0;0;0;9102
1411801:Confecção de roupas íntimas;41;90;62;15;183;189;4;3;711;86;340;35;29;8;46;3;1;64;1;9;0;144;56;48;26;53;46;1;46;5;1;0;0;0;0;0;210;19;4;64;161;27;25;5;4;5;430;0;14;550;1088;690;18;87;250;0;430;256;110;35;5;40;48;0;7;5;9;25;35;4;2;2;1103;1;276;2;23;20;5;61;0;3;342;0;495;0;0;2;9;6;11;1;0;1;9371
1411802:Facção de roupas íntimas;0;0;62;0;0;30;0;1;20;0;2;0;0;0;0;0;0;0;0;0;0;39;0;10;11;0;0;0;0;0;0;2;0;0;0;0;1;0;0;62;12;0;0;0;0;1;17;0;0;8;99;36;0;0;0;0;22;68;0;2;1;2;0;0;0;0;0;0;1;13;0;0;6;0;11;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;546
